Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU0,67.36792438832917,52.41057327172588,830.9601199660964,8973.368180496329,Non-binary,60.290546618610016,7.106054922227538,96.97791770383765,3.8554632181353465,Carrier B,2.9080894330179987,Supplier 3,Mumbai,29.40329897246291,221.04192679333408,30.210213060142276,44.31168376119963,Pending,0.21658059198433197,Road,Route B,189.46697721018677
skincare,SKU1,14.430876891675089,93.85791771147493,753.711672579166,7549.093468452007,Female,55.41023836828977,29.346477313138063,35.97245272975532,1.9614304631717159,Carrier A,9.953695711175355,Supplier 3,Mumbai,22.15518551291979,508.4863392860316,30.704973021133394,33.757687556109865,Pending,4.914443173417489,Road,Route B,493.899517329445
haircare,SKU2,11.774320264106944,33.90862550361713,8.220918656039876,9852.761128471362,Unknown,0.97182907265087,10.096310399324972,91.06466827330976,1.9827296006321704,Carrier B,8.080365522817065,Supplier 1,Mumbai,12.12839692841749,1012.2948948867509,27.76736685043329,30.28409511421872,Pending,4.513607856135574,Air,Route C,135.53929463162802
skincare,SKU3,59.84914450601288,70.87778156371473,85.8966842225893,7875.028760664759,Non-binary,23.312807475925364,12.877011382604675,61.30193943348397,6.109866504356681,Carrier C,1.8100775233814566,Supplier 5,Kolkata,24.254282919640637,947.408657430914,17.564061738264215,36.087756631123725,Fail,4.957264496480633,Rail,Route A,251.41168469875615
skincare,SKU4,4.617874212846843,26.3877991769883,906.6468506284544,2803.1059517566146,Non-binary,4.790967969359802,2.863367461896955,58.04702134731974,7.690091652314683,Carrier A,3.801074033926766,Supplier 1,Delhi,5.1666333580384585,399.6046109652006,2.8997639647426827,95.21354472077111,Fail,3.1939818756814953,Air,Route A,918.7237302482006
haircare,SKU5,1.6334411347041067,84.37517140714637,145.23222915262022,2921.616046520442,Non-binary,90.83844704628724,28.18696140340673,66.07612016617382,2.8916443699331267,Carrier B,4.38750370881609,Supplier 4,Bangalore,10.167490057488822,104.14456952177355,17.266678075837234,54.74306587902273,Fail,2.8960310869738812,Road,Route A,236.53817941898416
skincare,SKU6,4.254009689779433,46.085773828860376,64.14480705132007,8200.84533728291,Male,10.601562745128172,14.828996987718773,60.17540507023374,7.806924953779837,Carrier C,3.8873728057916743,Supplier 3,Kolkata,13.751344240519998,315.9793480191034,24.34690302097939,1.0371229987803527,Pending,0.9686564750093555,Sea,Route A,131.89943348670985
cosmetics,SKU7,43.2845511598108,60.15643712872282,418.71135395284404,8301.935859428322,Female,91.5251607817424,16.819905723289054,10.920394541512913,1.0179139762024605,Carrier B,2.4104866155883062,Supplier 4,Bangalore,22.196699180582193,545.869053322618,0.9716646685270925,100.24249051855725,Fail,0.4164638402787166,Road,Route C,807.0762896837771
cosmetics,SKU8,68.64326326731808,77.3427131190918,149.72113524333002,7339.321139508638,Female,5.0391296169875535,9.617118665827585,14.93703468691104,6.761780722003642,Carrier C,3.4591712556060785,Supplier 4,Mumbai,13.174158395513498,776.0173737599354,7.6408704257078615,11.89230903335119,Pending,2.596798351913502,Sea,Route B,517.5209192236429
skincare,SKU9,61.42399358350481,36.32071118916851,1025.983561680134,4991.997217862806,Unknown,14.259301905945833,27.51125410565476,83.64001822969055,0.984791946630726,Carrier A,7.0040716991535605,Supplier 2,Chennai,28.498356141576316,976.421659104468,22.658214996302828,46.859169997874886,Pending,3.937882018006197,Rail,Route B,1041.5183824456174
